RSN,PGA (g),Maximum Base Shear (kN),Maximum Overturning Moment (kN·m),ISD Floor 1 (%),ISD Floor 2 (%),ISD Floor 3 (%),ISD Floor 4 (%),ISD Floor 5 (%),ISD Floor 6 (%),ISD Floor 7 (%),ISD Floor 8 (%),Maximum ISD (%),Maximum Global Drift (%),PFA Node 1 (g),PFA Node 5 (g),PFA Node 9 (g),PFA Node 12 (g),Maximum LRB Displacement (Node 1) (mm),Maximum Top Displacement (Node 9) (mm)
4199,0.04,512.8906,2793.8476,0.154845,0.330359,0.415273,0.452868,0.452743,0.417192,0.341028,0.213126,0.452868,0.345175,0.04,0.036131,0.062825,0.026647,0.0,97.3393
4199,0.05,545.8212,2969.2261,0.167788,0.357433,0.45008,0.491733,0.492104,0.453336,0.370208,0.231217,0.492104,0.374511,0.05,0.043629,0.064051,0.032898,0.0,105.6122
4199,0.052,551.1692,3009.0644,0.170788,0.364019,0.458689,0.501391,0.501847,0.462253,0.377334,0.235511,0.501847,0.381734,0.052,0.044755,0.064114,0.034143,0.0,107.6491
4199,0.09,633.8107,3633.2265,0.222397,0.47605,0.606166,0.666444,0.667573,0.612052,0.494549,0.304605,0.667573,0.503266,0.09,0.067315,0.074751,0.058215,0.0,141.921
4199,0.1,646.9017,3748.5251,0.233081,0.499309,0.636875,0.701114,0.702648,0.644188,0.519998,0.319688,0.702648,0.528945,0.1,0.073937,0.078438,0.06466,0.0,149.1625
4199,0.16,755.1214,4672.1226,0.336524,0.711983,0.908183,1.001949,1.005558,0.921473,0.742665,0.455016,1.005558,0.756138,0.16,0.113809,0.090389,0.103946,0.0,213.2309
4199,0.17,823.4689,5046.9809,0.3834,0.79245,0.995673,1.085245,1.0794,0.989215,0.797557,0.488843,1.085245,0.818747,0.17,0.12022,0.091474,0.110488,0.0,230.8866
4199,0.175,883.224,5576.9052,0.468245,0.958321,1.198448,1.301267,1.286501,1.162185,0.925773,0.562264,1.301267,0.978134,0.175,0.123397,0.09179,0.11373,0.0,275.8339
4199,0.18,941.8475,6258.4696,0.599205,1.224647,1.528828,1.653364,1.6279,1.46274,1.154711,0.689929,1.653364,1.236947,0.18,0.12656,0.093884,0.116962,0.0,348.8191
4199,0.2,959.7045,6718.0192,0.714391,1.495729,1.901358,2.073579,2.046012,1.82767,1.415958,0.823816,2.073579,1.53017,0.2,0.13911,0.108278,0.12979,0.0,431.508
4199,0.25,976.6555,7036.2438,0.797685,1.655885,2.073336,2.229237,2.175943,1.924591,1.47436,0.845867,2.229237,1.639532,0.25,0.170698,0.122066,0.160981,0.0,462.3481
4199,0.3,966.9332,7404.5164,0.926423,1.949805,2.469643,2.667256,2.609226,2.302529,1.729759,0.961537,2.667256,1.943327,0.3,0.203814,0.127141,0.191578,0.0,548.0182
5259,0.03,425.0119,2149.0629,0.114345,0.240654,0.297694,0.320281,0.317976,0.292974,0.240884,0.15164,0.320281,0.245632,0.03,0.034162,0.046072,0.022433,0.0,69.2683
5259,0.04,488.7382,2546.2419,0.138929,0.293544,0.364798,0.394149,0.392242,0.361535,0.296288,0.185895,0.394149,0.301631,0.04,0.037221,0.054944,0.030048,0.0,85.0599
5259,0.05,533.5695,2766.1445,0.15351,0.325549,0.407211,0.442436,0.440897,0.405348,0.331065,0.207094,0.442436,0.337113,0.05,0.045571,0.059942,0.037715,0.0,95.0658
